supplementary_table,section,section_row,Item,"Institutions, n",Parameter,Value,Definition,Number of profiles (k),Total within-cluster sum of squares,Average silhouette width,Exploratory profile,Institutions (%),"Countries or territories, n",Mean IRIS Overall score,Median IRIS Overall score,Mean scientific output,Median scientific output,Very low (%),Low (%),Medium (%),Significant (%),Multi-affiliation,Retracted output,Self-citation,Discontinued journals output,Hyperauthored output,Leadership impact gap,Hyperprolific authors,Institutional journal output,Redundant output,Indicator variable,Mean standardized value,Indicator,IRIS structural risk category,Within-profile (%),1st percentile,99th percentile,"Profile institutions, n",Published mean IRIS Overall score,Mean original indicator value,AHP weight,Mean weighted indicator contribution,Contribution to published mean Overall (%),Metric,title,description,notes
S4,Profile centroids z,5,,,,,,,,,Profile 5,,,,,,,,,,,0.23,3.93,-0.14,0.63,-0.49,0,0.33,-0.17,-0.03,,,,,,,,,,,,,,,,,
S4,Dominant indicators,1,,,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,multi_affiliation,0.01,Multi-affiliation,,,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Dominant indicators,2,,,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,institutional_journal_output,-0.16,Institutional journal output,,,,,,,,,,,,,,
S4,Dominant indicators,3,,,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,retracted_output,-0.18,Retracted output,,,,,,,,,,,,,,
S4,Dominant indicators,4,,,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,hyperauthored_output,1.37,Hyperauthored output,,,,,,,,,,,,,,
S4,Dominant indicators,5,,,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,leadership_impact_gap,1,Leadership impact gap,,,,,,,,,,,,,,
S4,Dominant indicators,6,,,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,hyperprolific_authors,0.45,Hyperprolific authors,,,,,,,,,,,,,,
S4,Dominant indicators,7,,,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,institutional_journal_output,5.16,Institutional journal output,,,,,,,,,,,,,,
S4,Dominant indicators,8,,,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,self_citation,0.38,Self-citation,,,,,,,,,,,,,,
S4,Dominant indicators,9,,,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,leadership_impact_gap,0.26,Leadership impact gap,,,,,,,,,,,,,,
S4,Dominant indicators,10,,,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,self_citation,1.73,Self-citation,,,,,,,,,,,,,,
S4,Dominant indicators,11,,,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,discontinued_journals_output,1.64,Discontinued journals output,,,,,,,,,,,,,,
S4,Dominant indicators,12,,,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,redundant_output,1.53,Redundant output,,,,,,,,,,,,,,
S4,Dominant indicators,13,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,retracted_output,3.93,Retracted output,,,,,,,,,,,,,,
S4,Dominant indicators,14,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,discontinued_journals_output,0.63,Discontinued journals output,,,,,,,,,,,,,,
S4,Dominant indicators,15,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,hyperprolific_authors,0.33,Hyperprolific authors,,,,,,,,,,,,,,
S4,IRIS categories by profile,1,,1243,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,,,,Very Low,38.3878937615812,,,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,IRIS categories by profile,2,,1130,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,,,,Low,34.8980852378011,,,,,,,,,,,,
S4,IRIS categories by profile,3,,858,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,,,,Medium,26.4978381717109,,,,,,,,,,,,
S4,IRIS categories by profile,4,,7,,,,,,,Profile 1,,,,,,,,,,,,,,,,,,,,,,,Significant,0.216182828906733,,,,,,,,,,,,
S4,IRIS categories by profile,5,,121,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,,,,Very Low,9.73451327433628,,,,,,,,,,,,
S4,IRIS categories by profile,6,,549,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,,,,Low,44.1673370876911,,,,,,,,,,,,
S4,IRIS categories by profile,7,,554,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,,,,Medium,44.5695897023331,,,,,,,,,,,,
S4,IRIS categories by profile,8,,19,,,,,,,Profile 2,,,,,,,,,,,,,,,,,,,,,,,Significant,1.52855993563958,,,,,,,,,,,,
S4,IRIS categories by profile,9,,0,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,,,,Very Low,0,,,,,,,,,,,,
S4,IRIS categories by profile,10,,13,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,,,,Low,8.02469135802469,,,,,,,,,,,,
S4,IRIS categories by profile,11,,125,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,,,,Medium,77.1604938271605,,,,,,,,,,,,
S4,IRIS categories by profile,12,,24,,,,,,,Profile 3,,,,,,,,,,,,,,,,,,,,,,,Significant,14.8148148148148,,,,,,,,,,,,
S4,IRIS categories by profile,13,,4,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,,,,Very Low,0.665557404326123,,,,,,,,,,,,
S4,IRIS categories by profile,14,,37,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,,,,Low,6.15640599001664,,,,,,,,,,,,
S4,IRIS categories by profile,15,,416,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,,,,Medium,69.2179700499168,,,,,,,,,,,,
S4,IRIS categories by profile,16,,144,,,,,,,Profile 4,,,,,,,,,,,,,,,,,,,,,,,Significant,23.9600665557404,,,,,,,,,,,,
S4,IRIS categories by profile,17,,0,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,,,,Very Low,0,,,,,,,,,,,,
S4,IRIS categories by profile,18,,0,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,,,,Low,0,,,,,,,,,,,,
S4,IRIS categories by profile,19,,55,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,,,,Medium,24.3362831858407,,,,,,,,,,,,
S4,IRIS categories by profile,20,,171,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,,,,Significant,75.6637168141593,,,,,,,,,,,,
S4,Winsor thresholds,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multi_affiliation,,Multi-affiliation,,,-1.61231,5.44178000000001,,,,,,,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Winsor thresholds,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retracted_output,,Retracted output,,,-0.709,7.25025000000003,,,,,,,,,,
S4,Winsor thresholds,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,self_citation,,Self-citation,,,-1.832,6.60936000000002,,,,,,,,,,
S4,Winsor thresholds,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discontinued_journals_output,,Discontinued journals output,,,-0.545,7.72133000000002,,,,,,,,,,
S4,Winsor thresholds,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperauthored_output,,Hyperauthored output,,,-1.401,3.49167000000002,,,,,,,,,,
S4,Winsor thresholds,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leadership_impact_gap,,Leadership impact gap,,,-2.7701,4.7491,,,,,,,,,,
S4,Winsor thresholds,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hyperprolific_authors,,Hyperprolific authors,,,-1.413,3.65455,,,,,,,,,,
S4,Winsor thresholds,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,institutional_journal_output,,Institutional journal output,,,-0.268,5.01259000000012,,,,,,,,,,
S4,Winsor thresholds,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,redundant_output,,Redundant output,,,-1.186,6.96902000000002,,,,,,,,,,
S4,Profile 5 AHP decomposition,1,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,multi_affiliation,,Multi-affiliation,,,,,226,2.2563982300885,0.373469026548673,0.1,0.0373469026548673,1.65515564393093,,Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Profile 5 AHP decomposition,2,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,retracted_output,,Retracted output,,,,,226,2.2563982300885,6.62325221238938,0.3,1.98697566371681,88.0596180772082,,,,
S4,Profile 5 AHP decomposition,3,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,self_citation,,Self-citation,,,,,226,2.2563982300885,-0.118946902654867,0.05,-0.00594734513274336,-0.263576927753135,,,,
S4,Profile 5 AHP decomposition,4,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,discontinued_journals_output,,Discontinued journals output,,,,,226,2.2563982300885,1.50497787610619,0.2,0.300995575221239,13.3396477274064,,,,
S4,Profile 5 AHP decomposition,5,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,hyperauthored_output,,Hyperauthored output,,,,,226,2.2563982300885,-0.932176991150443,0.05,-0.0466088495575221,-2.06563047852126,,,,
S4,Profile 5 AHP decomposition,6,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,leadership_impact_gap,,Leadership impact gap,,,,,226,2.2563982300885,0.0963274336283185,0.05,0.00481637168141593,0.213453973557984,,,,
S4,Profile 5 AHP decomposition,7,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,hyperprolific_authors,,Hyperprolific authors,,,,,226,2.2563982300885,-0.150827433628319,0.1,-0.0150827433628319,-0.668443325371706,,,,
S4,Profile 5 AHP decomposition,8,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,institutional_journal_output,,Institutional journal output,,,,,226,2.2563982300885,-0.229265486725664,0.1,-0.0229265486725664,-1.01606836802328,,,,
S4,Profile 5 AHP decomposition,9,,,,,,,,,Profile 5,,,,,,,,,,,,,,,,,,,,redundant_output,,Redundant output,,,,,226,2.2563982300885,0.337053097345133,0.05,0.0168526548672566,0.746883003298389,,,,
S4,Profile 5 AHP summary,1,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Profile 5 institutions, n",Supplementary Table S4. K-means diagnostics and characteristics of the five exploratory institutional profiles.,"Diagnostics for k = 2–8, profile summaries and centroids, dominant indicators, structural risk category distributions, winsorization thresholds, and a post hoc descriptive AHP decomposition of Profile 5.","Profiles are exploratory indicator configurations, not definitive institutional classes. | IRIS Overall score and structural risk category were not clustering inputs. | The AHP decomposition is descriptive and uses the original supplied IRIS indicator values; it does not alter PCA or k-means. | Weighted reconstruction is compared with the supplied Overall only as a rounding-tolerant reproducibility check (tolerance 0.001). | Diagnostic models used iter.max = 200; the final k = 5 model used iter.max = 500."
S4,Profile 5 AHP summary,2,,,,2.2563982300885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published mean IRIS Overall score,,,
S4,Profile 5 AHP summary,3,,,,2.25642168141593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weighted reconstruction from mean original indicators,,,
S4,Profile 5 AHP summary,4,,,,2.34513274337544e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absolute reconstruction difference,,,
S4,Profile 5 AHP summary,5,,,,1.98697566371681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mean weighted Retracted output contribution,,,
S4,Profile 5 AHP summary,6,,,,88.0596180772082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retracted output contribution to published mean Overall (%),,,
